ID продукта,Название продукта,Категория,Цена,Рейтинг,Количество отзывов,Количество на складе,Скидка,Продажи,Дата добавления,Город
1,Наушники,Электроника,400.31,1.7,3772,20,0.08,466,2023-11-10,Albuquerque
2,Наушники,Электроника,235.03,2.3,2919,663,0.33,1332,2023-09-28,Queens
3,Смарт-часы,Электроника,417.9,1.8,1184,459,0.31,252,2023-10-20,Austin
4,Смартфон,Электроника,152.7,3.4,2047,475,0.49,1806,2023-12-05,Dallas
5,Ноутбук,Электроника,394.74,1.8,1267,831,0.23,1508,2023-08-10,Tucson
6,Наушники,Электроника,93.56,1.3,2435,600,0.48,241,2023-09-21,Louisville
7,Ноутбук,Электроника,57.86,3.7,1478,427,0.25,1966,2024-05-08,Cleveland
8,Ноутбук,Электроника,201.62,1.7,3073,389,0.1,1795,2023-08-07,Houston
9,Смартфон,Электроника,485.1,4.1,161,201,0.45,269,2023-06-27,Cape Coral
10,Смарт-часы,Электроника,170.0,3.3,1275,701,0.16,719,2023-10-19,Minneapolis
11,Ноутбук,Электроника,274.45,3.3,4859,187,0.27,1064,2024-01-07,Memphis
12,Наушники,Электроника,90.98,1.1,2568,343,0.2,647,2024-04-10,Mesa
13,Наушники,Электроника,107.43,3.8,4514,288,0.3,1513,2023-10-25,Palm Bay
14,Ноутбук,Электроника,66.78,4.5,4875,929,0.05,502,2024-04-11,Columbia
15,Смарт-часы,Электроника,336.3,3.4,2773,986,0.28,1762,2024-03-03,Seattle
16,Наушники,Электроника,359.49,4.0,502,766,0.13,794,2023-11-18,Hartford
17,Наушники,Электроника,64.34,2.8,863,742,0.24,1020,2024-03-08,Palm Bay
18,Смарт-часы,Электроника,454.71,2.0,1678,170,0.1,524,2024-01-04,Charlotte
19,Наушники,Электроника,151.98,1.6,2625,681,0.4,1976,2024-01-30,Charlotte
20,Смарт-часы,Электроника,403.8,1.7,1981,330,0.16,1371,2023-10-25,Akron
21,Ноутбук,Электроника,63.93,1.9,4029,632,0.41,1768,2023-09-27,San Francisco
22,Наушники,Электроника,90.68,3.1,4413,676,0.35,1257,2023-12-23,Austin
23,Смарт-часы,Электроника,472.03,2.3,1495,232,0.2,1853,2024-04-21,Cincinnati
24,Смарт-часы,Электроника,133.37,3.0,1636,624,0.5,698,2024-02-20,Spokane
25,Ноутбук,Электроника,256.31,1.2,3474,637,0.07,1707,2023-11-07,New York
26,Смарт-часы,Электроника,280.92,3.4,3510,202,0.18,400,2023-10-01,Indianapolis
27,Ноутбук,Электроника,190.21,3.5,197,981,0.27,751,2024-01-20,Virginia Beach
28,Смартфон,Электроника,83.85,3.0,2511,348,0.43,763,2023-07-02,Baltimore
29,Наушники,Электроника,406.66,2.4,1734,819,0.47,1959,2024-02-05,Providence
30,Наушники,Электроника,469.0,1.6,4061,297,0.13,1787,2024-01-20,Buffalo
31,Ноутбук,Электроника,491.26,3.1,4976,1,0.5,253,2024-01-24,San Antonio
32,Смартфон,Электроника,451.2,3.5,2056,232,0.17,815,2023-11-17,Bronx
33,Наушники,Электроника,429.6,2.6,1696,919,0.43,1648,2024-02-29,Buffalo
34,Смарт-часы,Электроника,294.54,2.5,98,152,0.0,1919,2023-07-10,Tulsa
35,Ноутбук,Электроника,349.03,3.6,4067,160,0.01,397,2023-09-09,Toledo
36,Смарт-часы,Электроника,375.78,3.6,1218,400,0.15,687,2024-05-21,Seattle
37,Ноутбук,Электроника,299.04,4.9,562,437,0.45,26,2023-10-30,Virginia Beach
38,Смартфон,Электроника,256.29,3.3,959,480,0.1,1852,2023-08-13,Charlotte
39,Наушники,Электроника,290.28,4.1,16,171,0.47,476,2024-04-27,New York
40,Смартфон,Электроника,442.91,4.0,1060,279,0.17,301,2023-12-14,Cleveland
41,Куртка,Одежда,482.17,4.4,190,252,0.19,1184,2023-09-30,Harrisburg
42,Куртка,Одежда,93.05,3.2,569,322,0.29,1815,2024-02-19,Portland
43,Свитер,Одежда,338.86,2.4,154,489,0.44,784,2024-02-29,Spokane
44,Футболка,Одежда,76.94,3.8,2806,537,0.41,920,2024-05-30,Ogden
45,Свитер,Одежда,260.56,3.0,4780,19,0.32,511,2024-01-22,San Juan
46,Свитер,Одежда,444.44,1.1,4929,799,0.29,853,2024-04-22,Grand Rapids
47,Футболка,Одежда,85.97,4.9,1715,681,0.41,1077,2024-03-03,Wichita
48,Футболка,Одежда,415.66,2.1,4,102,0.04,876,2023-06-28,Las Vegas
49,Куртка,Одежда,352.76,1.6,4364,369,0.26,1693,2024-01-17,St. Louis
50,Футболка,Одежда,205.42,2.7,1369,740,0.09,1853,2023-09-07,Memphis
51,Куртка,Одежда,351.03,2.6,1081,633,0.08,801,2024-03-08,Albany
52,Джинсы,Одежда,56.0,1.7,4992,271,0.26,703,2024-04-04,Knoxville
53,Джинсы,Одежда,367.72,1.2,4249,655,0.08,1109,2023-12-10,San Francisco
54,Футболка,Одежда,66.88,1.2,2141,749,0.49,452,2023-11-21,Louisville
55,Свитер,Одежда,57.94,3.0,4646,611,0.09,1757,2023-06-21,Buffalo
56,Куртка,Одежда,33.55,4.8,2849,179,0.19,761,2024-01-17,Hartford
57,Джинсы,Одежда,255.51,3.2,4611,15,0.04,1782,2023-09-28,San Diego
58,Футболка,Одежда,434.93,3.5,851,663,0.34,1698,2024-05-10,Minneapolis
59,Футболка,Одежда,407.49,4.3,3913,42,0.1,396,2024-05-31,Palm Bay
60,Куртка,Одежда,194.86,1.2,753,34,0.17,89,2023-09-22,San Jose
61,Футболка,Одежда,423.99,1.1,417,114,0.14,1219,2023-08-03,Toledo
62,Футболка,Одежда,180.68,4.7,728,276,0.48,675,2023-06-21,Dallas
63,Футболка,Одежда,288.57,3.3,1122,547,0.19,95,2024-01-12,Boise
64,Куртка,Одежда,466.07,4.4,3440,694,0.38,216,2023-06-23,Albuquerque
65,Футболка,Одежда,195.09,3.1,595,879,0.19,396,2023-12-08,Louisville
66,Куртка,Одежда,200.71,1.0,4171,264,0.16,717,2023-11-02,San Jose
67,Свитер,Одежда,246.44,3.0,143,884,0.05,395,2024-05-18,Kansas City
68,Свитер,Одежда,339.53,4.0,3222,143,0.39,108,2023-12-14,San Francisco
69,Джинсы,Одежда,487.38,5.0,4729,132,0.37,732,2023-10-21,Los Angeles
70,Куртка,Одежда,67.36,1.6,953,491,0.43,1253,2024-06-05,Staten Island
71,Джинсы,Одежда,353.47,1.3,2993,794,0.35,1540,2024-05-14,Chicago
72,Футболка,Одежда,124.28,3.3,1388,832,0.44,1680,2023-07-21,Atlanta
73,Футболка,Одежда,300.03,2.4,3486,786,0.39,1205,2023-12-28,Louisville
74,Куртка,Одежда,131.87,2.3,3522,172,0.01,1243,2024-02-07,Omaha
75,Джинсы,Одежда,373.08,4.1,894,360,0.37,386,2023-06-30,Salt Lake City
76,Джинсы,Одежда,206.11,2.9,823,928,0.11,133,2024-04-15,New Orleans
77,Свитер,Одежда,489.17,3.2,4910,148,0.02,1236,2023-11-22,Denver
78,Свитер,Одежда,46.16,3.2,3512,401,0.08,1328,2024-05-29,Pittsburgh
79,Куртка,Одежда,232.73,3.5,3330,655,0.37,970,2024-05-31,Palm Bay
80,Джинсы,Одежда,475.7,4.6,3019,407,0.31,1031,2024-02-11,Providence
81,Кофеварка,Дом и кухня,326.96,2.6,539,731,0.18,739,2023-12-03,Des Moines
82,Микроволновка,Дом и кухня,352.1,3.1,2508,731,0.14,908,2024-04-27,Spokane
83,Микроволновка,Дом и кухня,413.04,4.8,255,708,0.31,449,2024-06-02,Bronx
84,Кофеварка,Дом и кухня,439.56,3.2,1015,800,0.39,145,2023-11-01,Mesa
85,Микроволновка,Дом и кухня,83.7,3.4,4158,216,0.48,794,2023-12-18,Akron
86,Блендер,Дом и кухня,41.12,1.1,510,384,0.01,822,2024-06-06,Grand Rapids
